"id_pracownika","id_zwierzecia","termin","cel_wizyty"
"15","25","14:14","Obcinanie pazurkow"
"18","53","11:40","Kastracja szczura"
"23","23","8:21","Obcinanie pazurkow"
"17","32","10:30","Czyszczenie zebow"
"20","93","9:9","Chipowanie zwierzat"
"22","76","16:30","Badanie per rectum"
"28","28","13:41","Chipowanie zwierzat"
"7","81","9:7","USG serca"
"27","6","11:13","Badanie moczu"
"17","69","14:2","Usg zwierzat"
"20","77","8:29","Usg zwierzat"
"20","86","13:25","USG serca"
"7","28","11:23","Badanie moczu"
"23","72","11:5","Sterylizacja suki"
"13","32","13:16","Obcinanie pazurkow"
"1","69","7:8","Kastracja szczura"
"5","29","11:56","Kastracja szczura"
"15","27","12:45","Badanie krwi"
"26","81","13:13","Badanie moczu"
"13","86","9:36","Szczepienie na wscieklizne"
"5","25","16:32","Kastracja szczura"
"21","67","16:54","Szczepienie na wscieklizne"
"8","24","11:3","Kastracja szczura"
"7","16","7:53","Badanie krwi"
"28","97","10:55","Sterylizacja suki"
"8","92","16:30","Chipowanie zwierzat"
"6","6","9:16","Badanie per rectum"
"19","92","9:0","Badanie krwi"
"23","16","13:42","Usg zwierzat"
"28","71","10:46","Badanie krwi"
"11","36","12:14","Badanie krwi"
"5","47","10:45","Szczepienie na wscieklizne"
"12","34","10:22","Badanie krwi"
"9","51","14:44","Badanie krwi"
"23","49","7:7","Badanie moczu"
"28","53","8:53","Usg zwierzat"
"3","64","7:1","Mastectomia"
"10","89","16:29","Badanie moczu"
"9","88","8:46","Kastracja szczura"
"18","8","10:16","Badanie kalu"
"3","29","12:32","Czyszczenie zebow"
"18","28","11:34","Badanie per rectum"
"26","62","11:36","Usg zwierzat"
"17","10","13:15","Szczepienie na wscieklizne"
"17","28","14:16","Badanie kalu"
"22","51","15:50","Kastracja szczura"
"8","54","9:40","Kastracja szczura"
"2","95","9:58","Sterylizacja suki"
"8","58","12:45","Badanie per rectum"
"11","89","10:35","Chipowanie zwierzat"
"18","17","8:48","Kastracja kocura"
"23","71","12:7","Mastectomia"
"13","45","16:48","Kastracja szczura"
"6","5","11:31","Czyszczenie zebow"
"6","68","11:40","USG serca"
"21","20","15:3","Szczepienie na wscieklizne"
"4","98","13:44","Kastracja szczura"
"11","65","14:27","Badanie kalu"
"24","25","12:43","USG serca"
"14","36","9:44","Badanie krwi"
"26","71","12:16","Kastracja szczura"
"21","28","9:56","Badanie moczu"
"13","32","13:18","Chipowanie zwierzat"
"27","40","16:20","Usg zwierzat"
"4","29","13:53","USG serca"
"10","86","11:13","Czyszczenie zebow"
"18","13","13:41","Usg zwierzat"
"16","79","8:56","USG serca"
"1","8","9:5","Badanie moczu"
"19","20","10:43","USG serca"
"28","94","8:46","Czyszczenie zebow"
"19","93","12:48","Kastracja szczura"
"17","69","8:12","Badanie moczu"
"13","67","15:3","Chipowanie zwierzat"
"25","16","15:7","Obcinanie pazurkow"
"14","79","9:26","Badanie per rectum"
"27","20","14:49","Sterylizacja suki"
"18","11","11:31","USG serca"
"6","98","11:2","Kastracja kocura"
"26","20","12:15","Badanie kalu"
"28","84","15:10","Badanie krwi"
"16","6","14:12","Chipowanie zwierzat"
"20","17","10:31","Szczepienie na wscieklizne"
"17","30","7:56","Czyszczenie zebow"
"23","8","11:45","Chipowanie zwierzat"
"8","28","11:15","Szczepienie na wscieklizne"
"15","71","16:49","Szczepienie na wscieklizne"
"5","69","10:24","Mastectomia"
"20","81","15:19","Obcinanie pazurkow"
"23","52","7:49","Mastectomia"
"4","90","14:5","Sterylizacja suki"
"22","80","16:51","Chipowanie zwierzat"
"20","31","7:43","Szczepienie na wscieklizne"
"18","44","10:22","Kastracja kocura"
"23","31","8:9","Obcinanie pazurkow"
"4","4","9:16","Badanie per rectum"
"8","27","14:48","USG serca"
"11","61","13:11","Chipowanie zwierzat"
"27","72","9:23","Czyszczenie zebow"
"13","19","7:53","Badanie kalu"
